name,place_of_birth,citizenship,national_team,birth_country,is_naturalized
Érik Lira,Mexico City,Mexico,Mexico,Mexico,False
Luis Romo,Los Mochis,Mexico,Mexico,Mexico,False
Gilberto Mora,Tuxtla Gutiérrez,Mexico,Mexico,Mexico,False
Brian Gutiérrez,"Berwyn, Illinois",Mexico  United States,Mexico,United States,True
Alexis Vega,Mexico City,Mexico,Mexico,Mexico,False
Roberto Alvarado,"Salamanca, Guanajuato",Mexico,Mexico,Mexico,False
Armando González,Celaya,Mexico,Mexico,Mexico,False
Guillermo Martínez,Celaya,Mexico,Mexico,Mexico,False
El Mehdi Al Harrar,Casablanca,Morocco,Morocco,Morocco,False
Munir El Kajoui,Melilla,Morocco  Spain,Morocco,Spain,True
Yanis Benchaouch,Périgueux,Morocco  France,Morocco,France,True
Ibrahim Gomis,Perpignan,Morocco  France,Morocco,France,True
Abdelhamid Ait Boudlal,Marrakech,Morocco,Morocco,Morocco,False
Ismaël Baouf,Charleroi,Morocco  Belgium,Morocco,Belgium,True
Soufiane Bouftini,Casablanca,Morocco,Morocco,Morocco,False
Marwane Saadane,Mohammedia,Morocco,Morocco,Morocco,False
Souffian El Karouani,Den Bosch,Morocco  Netherlands,Morocco,Netherlands,True
Anass Salah-Eddine,Amsterdam,Morocco  Netherlands,Morocco,Netherlands,True
Youssef Belammari,Rabat,Morocco,Morocco,Morocco,False
Mohamed Chibi,Casablanca,Morocco,Morocco,Morocco,False
Oussama Targhalline,Casablanca,Morocco,Morocco,Morocco,False
Ayyoub Bouaddi,Senlis,Morocco  France,Morocco,France,True
Samir El Mourabet,Strasbourg,Morocco  France,Morocco,France,True
Imrân Louza,Nantes,Morocco  France,Morocco,France,True
Soufiane El-Faouzi,Siegen,Morocco  Germany,Morocco,France,True
Ismael Saibari,Terrassa,Morocco  Belgium,Morocco,Spain,True
Rayane Bounida,Vilvoorde,Morocco  Belgium,Morocco,Belgium,True
Sofiane Boufal,Paris,Morocco  France,Morocco,France,True
Amine Sbaï,Sidi Kacem,Morocco  France,Morocco,Morocco,False
Gessime Yassine,Salon-de-Provence,Morocco  France,Morocco,France,True
Ayoube Amaimouni-Echghouyab,Vic,Morocco  Spain,Morocco,Spain,True
Othmane Maamma,Alès,Morocco  France,Morocco,France,True
Yassir Zabiri,Marrakech,Morocco,Morocco,Morocco,False
Yanis Begraoui,Étampes,Morocco  France,Morocco,France,True
Ayoub El Kaabi,Casablanca,Morocco,Morocco,Morocco,False
Tawfik Bentayeb,Casablanca,Morocco,Morocco,Morocco,False
Soufiane Benjdida,Casablanca,Morocco,Morocco,Morocco,False
Zion Suzuki,"Newark, New Jersey",Japan  United States,Japan,United States,True
Keisuke Osako,"Izumi, Kagoshima",Japan,Japan,Japan,False
Tomoki Hayakawa,"Sagamihara, Kanagawa",Japan,Japan,Japan,False
Hiroki Ito,"Hamamatsu, Shizuoka",Japan,Japan,Japan,False
Ko Itakura,"Yokohama, Kanagawa",Japan,Japan,Japan,False
Tsuyoshi Watanabe,"---, Saitama",Japan,Japan,Japan,False
Junnosuke Suzuki,"Kakamigahara, Gifu",Japan,Japan,Japan,False
Shogo Taniguchi,"Kumamoto, Kumamoto",Japan,Japan,Japan,False
Maya Yoshida,"Nagasaki, Nagasaki",Japan,Japan,Japan,False
Yuto Nagatomo,"Saijo, Ehime",Japan,Japan,Japan,False
Takehiro Tomiyasu,"Fukuoka, Fukuoka",Japan,Japan,Japan,False
Yukinari Sugawara,"Toyokawa, Aichi",Japan,Japan,Japan,False
Kaishu Sano,"Tsuyama, Okayama",Japan,Japan,Japan,False
Wataru Endo,"Yokohama, Kanagawa",Japan,Japan,Japan,False
Ayumu Seko,"Osaka, Osaka",Japan,Japan,Japan,False
Ao Tanaka,"Kawasaki, Kanagawa",Japan,Japan,Japan,False
Daichi Kamada,"Iyo, Ehime",Japan,Japan,Japan,False
Daizen Maeda,"Taishi, Osaka",Japan,Japan,Japan,False
Keito Nakamura,"Abiko, Chiba",Japan,Japan,Japan,False
Takefusa Kubo,"Kawasaki, Kanagawa",Japan,Japan,Japan,False
Ritsu Doan,"Amagasaki, Hyogo",Japan,Japan,Japan,False
Junya Ito,"Yokosuka, Kanagawa",Japan,Japan,Japan,False
Yuito Suzuki,"Miura, Kanagawa",Japan,Japan,Japan,False
Ayase Ueda,"Mito, Ibaraki",Japan,Japan,Japan,False
Keisuke Goto,"Hamamatsu, Shizuoka",Japan,Japan,Japan,False
Kento Shiogai,"---, Tokyo",Japan,Japan,Japan,False
Koki Ogawa,"Yokohama, Kanagawa",Japan,Japan,Japan,False
Sergio Rochet,Nueva Palmira,Uruguay  Italy,Uruguay,Uruguay,False
Santiago Mele,Montevideo,Uruguay  Italy,Uruguay,Uruguay,False
Fernando Muslera,Buenos Aires,Uruguay  Italy,Uruguay,Argentina,True
Ronald Araujo,Rivera,Uruguay  Spain,Uruguay,Italy,True
José María Giménez,Toledo,Uruguay  Spain,Uruguay,Spain,True
Santiago Bueno,Montevideo,Uruguay  Italy,Uruguay,Uruguay,False
Sebastián Cáceres,Montevideo,Uruguay,Uruguay,Uruguay,False
Maxi Araújo,Montevideo,Uruguay,Uruguay,Uruguay,False
Mathías Olivera,Montevideo,Uruguay  Spain,Uruguay,Uruguay,False
Joaquín Piquerez,Montevideo,Uruguay  Italy,Uruguay,Uruguay,False
Juan Manuel Sanabria,Florida,Uruguay  Spain,Uruguay,United States,True
Matías Viña,Empalme Olmos,Uruguay  Italy,Uruguay,Uruguay,False
José Luis Rodríguez,Canelones,Uruguay,Uruguay,Uruguay,False
Guillermo Varela,Montevideo,Uruguay  Italy,Uruguay,Uruguay,False
Manuel Ugarte,Montevideo,Uruguay,Uruguay,Uruguay,False
Emiliano Martínez,Punta del Este,Uruguay  Italy,Uruguay,Uruguay,False
Nicolás Fonseca,Napoli,Uruguay  Italy,Uruguay,Italy,True
Federico Valverde,Montevideo,Uruguay  Spain,Uruguay,Uruguay,False
Nicolás de la Cruz,Montevideo,Uruguay  Argentina,Uruguay,Uruguay,False
Giorgian de Arrascaeta,Nuevo Berlín,Uruguay  Italy,Uruguay,Uruguay,False
Brian Rodríguez,Tranqueras,Uruguay,Uruguay,Uruguay,False
Agustín Canobbio,Montevideo,Uruguay  Italy,Uruguay,Uruguay,False
Facundo Torres,Montevideo,Uruguay,Uruguay,Uruguay,False
Facundo Pellistri,Montevideo,Uruguay  Spain,Uruguay,Uruguay,False
Darwin Núñez,Artigas,Uruguay,Uruguay,France,True
Federico Viñas,Montevideo,Uruguay,Uruguay,Uruguay,False
Agustín Álvarez,San Bautista,Uruguay,Uruguay,Uruguay,False
Rodrigo Aguirre,Montevideo,Uruguay,Uruguay,Uruguay,False
Abduvokhid Nematov,Jizzakh,Uzbekistan,Uzbekistan,Uzbekistan,False
Botirali Ergashev,"Pap, Namangan Region",Uzbekistan,Uzbekistan,Uzbekistan,False
Utkir Yusupov,Sayram,Uzbekistan,Uzbekistan,Kazakhstan,True
Vladimir Nazarov,,Uzbekistan,Uzbekistan,,True
Abdukodir Khusanov,Tashkent,Uzbekistan,Uzbekistan,Uzbekistan,False
Rustam Ashurmatov,Kokand,Uzbekistan,Uzbekistan,Uzbekistan,False
Mukhammadkodir Khamraliev,Fergana,Uzbekistan,Uzbekistan,Uzbekistan,False
Mukhammadrasul Abdumazhidov,,Uzbekistan,Uzbekistan,,True
Jakhongir Urozov,Viloyat Jizzax,Uzbekistan,Uzbekistan,Uzbekistan,False
Avazbek Ulmasaliev,Fargona,Uzbekistan,Uzbekistan,Uzbekistan,False
Umar Eshmurodov,Koson,Uzbekistan,Uzbekistan,Ukraine,True
Diyor Ortikboev,,Uzbekistan,Uzbekistan,,True
Sherzod Nasrullaev,Koson,Uzbekistan,Uzbekistan,Ukraine,True
Ibrokhimkhalil Yuldoshev,Yangyier,Uzbekistan,Uzbekistan,,True
Farrukh Sayfiev,Samarkand,Uzbekistan,Uzbekistan,Uzbekistan,False
Khozhiakbar Alizhonov,Tashkent,Uzbekistan,Uzbekistan,Uzbekistan,False
Bekhruz Karimov,,Uzbekistan,Uzbekistan,,True
Odildzhon Khamrobekov,Namangan,Uzbekistan,Uzbekistan,Uzbekistan,False
Umarali Rakhmonaliev,,Uzbekistan,Uzbekistan,,True
Abdulla Abdullaev,Kurgantepa,Uzbekistan,Uzbekistan,Uzbekistan,False
Aziz Ganiev,Jizzakh,Uzbekistan,Uzbekistan,Uzbekistan,False
Otabek Shukurov,Chirakchi,Uzbekistan,Uzbekistan,Uzbekistan,False
Akmal Mozgovoy,Qarshi,Uzbekistan,Uzbekistan,Uzbekistan,False
Sherzod Esanov,Navoi,Uzbekistan,Uzbekistan,Uzbekistan,False
Jamshid Iskanderov,Urganch,Uzbekistan,Uzbekistan,Uzbekistan,False
Jasurbek Jaloliddinov,Navoi,Uzbekistan,Uzbekistan,Uzbekistan,False
Kuvondik Ruziev,Jarkurgan,Uzbekistan,Uzbekistan,Uzbekistan,False
Oston Urunov,Navoiy,Uzbekistan,Uzbekistan,Uzbekistan,False
Jaloliddin Masharipov,Urganch,Uzbekistan,Uzbekistan,Uzbekistan,False
Ruslanbek Jiyanov,Tashkent,Uzbekistan,Uzbekistan,Uzbekistan,False
Sardorbek Bakhromov,,Uzbekistan,Uzbekistan,,True
Abbosbek Fayzullaev,Sirdaryo,Uzbekistan,Uzbekistan,Kazakhstan,True
Dostonbek Khamdamov,"Bekabad, Tashkent Region",Uzbekistan,Uzbekistan,Uzbekistan,False
Nodir Abdurazzakov,,Uzbekistan,Uzbekistan,,True
Alisher Odilov,,Uzbekistan,Uzbekistan,,True
Eldor Shomurodov,"Jarkurgan, Surxondaryo Region",Uzbekistan,Uzbekistan,Uzbekistan,False
Igor Sergeev,Tashkent,Uzbekistan  Russia,Uzbekistan,Uzbekistan,False
Khusayin Norchaev,,Uzbekistan,Uzbekistan,,True
Sherzod Temirov,Guzar,Uzbekistan,Uzbekistan,Uzbekistan,False
Azizbek Amanov,Zarafshan,Uzbekistan,Uzbekistan,Uzbekistan,False
Patrick Schulte,"Saint Charles, Missouri",United States,United States,United States,False
Matt Turner,"Park Ridge, New Jersey",United States  Lithuania,United States,United States,False
Chris Brady,"Naperville, Illinois",United States  Scotland,United States,United States,False
Matt Freese,"Wayne, Pennsylvania",United States  Germany,United States,United States,False
Chris Richards,"Birmingham, Alabama",United States,United States,United States,False
Auston Trusty,"Media, Pennsylvania",United States,United States,United States,False
Mark McKenzie,"New York City, New York",United States  Jamaica,United States,United States,False
Miles Robinson,"Arlington, Massachusetts",United States,United States,United States,False
Tim Ream,"St. Louis, Missouri",United States,United States,United States,False
Antonee Robinson,Milton Keynes,United States  England,United States,United Kingdom,True
Joe Scally,"Lake Grove, New York",United States,United States,United States,False
Alex Freeman,"Baltimore, Maryland",United States,United States,United States,False
Tanner Tessmann,"Birmingham, Alabama",United States,United States,United States,False
Weston McKennie,"Little Elm, Texas",United States,United States,United States,False
Johnny Cardoso,"Denville, New Jersey",United States  Italy,United States,United States,False
Aidan Morris,"Fort Lauderdale, Florida",United States  Canada,United States,United States,False
Sebastian Berhalter,London,United States  Ireland,United States,United Kingdom,True
Cristian Roldán,"Artesia, California",United States  El Salvador,United States,United States,False
Timothy Weah,"New York City, New York",United States  France,United States,United States,False
Malik Tillman,Nürnberg,United States  Germany,United States,Germany,True
Brenden Aaronson,"Medford, New Jersey",United States,United States,United States,False
Giovanni Reyna,Sunderland,United States  Portugal,United States,United Kingdom,True
Max Arfsten,"Fresno, California",United States,United States,United States,False
Christian Pulisic,"Hershey, Pennsylvania",United States  Croatia,United States,United States,False
Folarin Balogun,"New York City, New York",United States  England,United States,United States,False
Ricardo Pepi,"El Paso, Texas",United States  Mexico,United States,United States,False
Patrick Agyemang,"East Hartford, Connecticut",United States  Ghana,United States,United States,False
Dominik Kotarski,Zabok,Croatia,Croatia,Croatia,False
Dominik Livakovic,Zadar,Croatia,Croatia,Croatia,False
Ivor Pandur,Rijeka,Croatia,Croatia,Croatia,False
Josko Gvardiol,Zagreb,Croatia,Croatia,Croatia,False
Luka Vuskovic,Split,Croatia,Croatia,Croatia,False
Josip Sutalo,Čapljina,Croatia,Croatia,Bosnia and Herzegovina,True
Marin Pongracic,Landshut,Croatia  Germany,Croatia,Germany,True
Martin Erlić,Zadar,Croatia,Croatia,Croatia,False
Duje Caleta-Car,Šibenik,Croatia,Croatia,Croatia,False
Josip Stanisic,München,Croatia  Germany,Croatia,Germany,True
Nikola Moro,Split,Croatia,Croatia,Croatia,False
Kristijan Jakic,Split,Croatia,Croatia,Croatia,False
Petar Sučić,Livno,Croatia  Bosnia-Herzegovina,Croatia,Bosnia and Herzegovina,True
Mateo Kovacic,Linz,Croatia,Croatia,Austria,True
Luka Sucic,Linz,Croatia,Croatia,Austria,True
Mario Pašalić,Mainz,Croatia,Croatia,Germany,True
Luka Modrić,Zadar,Croatia,Croatia,Croatia,False
Martin Baturina,Zürich,Croatia,Croatia,Switzerland,True
Nikola Vlašić,Split,Croatia,Croatia,Croatia,False
Toni Fruk,Našice,Croatia,Croatia,Croatia,False
Andrej Kramaric,Zagreb,Croatia,Croatia,Croatia,False
Ivan Perišić,Split,Croatia,Croatia,Croatia,False
Marco Pašalić,Karlsruhe,Croatia  Germany,Croatia,Germany,True
Igor Matanovic,Hamburg,Croatia  Germany,Croatia,Germany,True
Petar Musa,Zagreb,Croatia,Croatia,Croatia,False
Ante Budimir,Zenica,Croatia,Croatia,Bosnia and Herzegovina,True
Yahia Fofana,Paris,Cote d'Ivoire  France,Ivory Coast,France,True
Alban Lafont,Ouagadougou,Cote d'Ivoire  France,Ivory Coast,Burkina Faso,True
Mohamed Koné,Adjamé,Cote d'Ivoire  France,Ivory Coast,Côte d'Ivoire,True
Ousmane Diomande,Abidjan,Cote d'Ivoire,Ivory Coast,Côte d'Ivoire,True
Evan Ndicka,Paris,Cote d'Ivoire  France,Ivory Coast,France,True
Wilfried Singo,Grand-Béréby,Cote d'Ivoire,Ivory Coast,Côte d'Ivoire,True
Odilon Kossounou,Abidjan,Cote d'Ivoire,Ivory Coast,Côte d'Ivoire,True
Emmanuel Agbadou,Abidjan,Cote d'Ivoire,Ivory Coast,Côte d'Ivoire,True
Clément Akpa,Meudon,Cote d'Ivoire  France,Ivory Coast,France,True
Ghislain Konan,Abidjan,Cote d'Ivoire,Ivory Coast,Côte d'Ivoire,True
Guéla Doué,Angers,Cote d'Ivoire  France,Ivory Coast,France,True
Ibrahim Sangaré,Abidjan,Cote d'Ivoire,Ivory Coast,Côte d'Ivoire,True
Jean Michaël Seri,Grand-Béréby,Cote d'Ivoire,Ivory Coast,Côte d'Ivoire,True
Christ Inao Oulaï,Yopougon,Cote d'Ivoire,Ivory Coast,Côte d'Ivoire,True
Franck Kessié,Ouragahio,Cote d'Ivoire  Italy,Ivory Coast,Côte d'Ivoire,True
Seko Fofana,Paris,Cote d'Ivoire  France,Ivory Coast,France,True
Yan Diomande,Abidjan,Cote d'Ivoire,Ivory Coast,Côte d'Ivoire,True
Bazoumana Touré,Bouaké,Cote d'Ivoire,Ivory Coast,Côte d'Ivoire,True
Simon Adingra,Abobo,Cote d'Ivoire,Ivory Coast,Côte d'Ivoire,True
Parfait Guiagon,Logouale,Cote d'Ivoire,Ivory Coast,Côte d'Ivoire,True
